X Y
Точки Y, D, O и F задают четырехугольник. YD = 23 см, YO = 22 см. Найти площадь данной фигуры.	[{"type": "quadrilateral", "name": YDOF}]
Последовательность точек E, A, U и R задаёт квадрат, при этом расстояние от E до A равно 18 см, а расстояние между E и U составляет 13 см. Найти периметр данной квадрат.	[{"type": "square", "name": EAUR}]
Найти периметр параллелограмма, основания которого WD = 24 см, CK = 3 см, а высота равна 16 см.	[{"type": "parallelogram", "name": WDCK}]
Найдите площадь квадрата ODFM со стороной 80 см.	[{"type": "square", "name": "ODFM"}]
Докажите, что диагонали четырехугольника ZQVP не обязательно являются взаимно перпендикулярными биссектрисами.	[{"type": "quadrilateral", "name": "ZQVP"}]
В параллелограмме RWYB, если AB = CD, как называется параллелограмм?	[{"type": "parallelogram", "name": "RWYB"}]
Основания прямоугольника UF = 21 см, RE = 12 см. Найти диагональ.	[{"type": "rectangle", "name": UFRE}]
В параллелограмме ZIPF, если ∠A = 90°, найдите величину ∠B.	[{"type": "parallelogram", "name": "ZIPF"}]
Найдите площадь параллелограмма HKFW, основание которого равно 15 см, а высота — 12 см.	[{"type": "parallelogram", "name": "HKFW"}]
Точки D, S, Y и J задают параллелограмм. DS = 25 см, DY = 23 см. Найти площадь данной фигуры.	[{"type": "parallelogram", "name": DSYJ}]
Как называется четырехугольник UMFZ, если AB = CD и AD = BC?	[{"type": "quadrilateral", "name": "UMFZ"}]
Последовательность точек M, Q, R и P задаёт четырехугольник, при этом расстояние от M до Q равно 25 см, а расстояние между M и R составляет 8 см. Найти периметр данной четырехугольник.	[{"type": "quadrilateral", "name": MQRP}]
Основания параллелограмма YE = 24 см, GX = 9 см. Найти диагональ.	[{"type": "parallelogram", "name": YEGX}]
Основания четырехугольника HX = 24 см, PI = 25 см. Найти диагональ.	[{"type": "quadrilateral", "name": HXPI}]
Найдите величину ∠C в трапеции BXPO, если ∠A = 60°.	[{"type": "trapezoid", "name": "BXPO"}]
Докажите, что сумма внутренних углов трапеции ZQBM равна 360°.	[{"type": "trapezoid", "name": "ZQBM"}]
Последовательность точек D, M, K и E задаёт прямоугольник, при этом расстояние от D до M равно 25 см, а расстояние между D и K составляет 25 см. Найти периметр данной прямоугольник.	[{"type": "rectangle", "name": DMKE}]
Найти периметр прямоугольника, основания которого IF = 19 см, OL = 21 см, а высота равна 18 см.	[{"type": "rectangle", "name": IFOL}]
В квадрате BHRI, если ∠A = 90°, найдите величину ∠B.	[{"type": "square", "name": "BHRI"}]
Найдите величину ∠C в трапеции LQGF, если ∠A = 60°.	[{"type": "trapezoid", "name": "LQGF"}]
Найдите площадь параллелограмма SNZA, основание которого равно 12 см, а высота — 10 см.	[{"type": "parallelogram", "name": "SNZA"}]
Последовательность точек N, F, B и X задаёт четырехугольник, при этом расстояние от N до F равно 19 см, а расстояние между N и B составляет 15 см. Найти периметр данной четырехугольник.	[{"type": "quadrilateral", "name": NFBX}]
Вычислите высоту равностороннего треугольника NRS со стороной 36 см и разностороннего треугольника CWV со сторонами 38 см, 40 см и 44 см	[{"type": "triangle", "name": "NRS"}, {"type": "triangle", "name": "CWV"}]
Как называется четырехугольник THMQ с двумя парами параллельных сторон?	[{"type": "quadrilateral", "name": "THMQ"}]
Последовательность точек I, A, Q и C задаёт прямоугольник, при этом расстояние от I до A равно 19 см, а расстояние между I и Q составляет 13 см. Найти периметр данной прямоугольник.	[{"type": "rectangle", "name": IAQC}]
Найдите площадь квадрата UCHP со стороной 28 см.	[{"type": "square", "name": "UCHP"}]
Последовательность точек Q, H, F и L задаёт параллелограмм, при этом расстояние от Q до H равно 4 см, а расстояние между Q и F составляет 13 см. Найти периметр данной параллелограмм.	[{"type": "parallelogram", "name": QHFL}]
Найдите периметр параллелограмма ZSBU, стороны которого равны 15 см и 19 см.	[{"type": "parallelogram", "name": "ZSBU"}]
Вычислите высоту равностороннего треугольника FNY со стороной 24 см и остроугольного треугольника HTB с углами 30°, 60° и 90°	[{"type": "triangle", "name": "FNY"}, {"type": "triangle", "name": "HTB"}]
Последовательность точек C, O, J и A задаёт квадрат, при этом расстояние от C до O равно 24 см, а расстояние между C и J составляет 17 см. Найти периметр данной квадрат.	[{"type": "square", "name": COJA}]
Основания прямоугольника DY = 22 см, GC = 2 см. Найти диагональ.	[{"type": "rectangle", "name": DYGC}]
Докажите, что диагонали квадрата QDVY являются взаимно перпендикулярными биссектрисами.	[{"type": "square", "name": "QDVY"}]
Докажите, что сумма внутренних углов четырехугольника LOUY всегда равна 360°.	[{"type": "quadrilateral", "name": "LOUY"}]
Найдите площадь тупоугольного треугольника SMI с углами 115°, 40° и 25°, а также равнобедренного треугольника DVU с основанием 56 см и равными сторонами 54 см	[{"type": "triangle", "name": "SMI"}, {"type": "triangle", "name": "DVU"}]
Докажите, что сумма внутренних углов квадрата DWZF равна 360°.	[{"type": "square", "name": "DWZF"}]
Последовательность точек L, A, H и V задаёт четырехугольник, при этом расстояние от L до A равно 8 см, а расстояние между L и H составляет 22 см. Найти периметр данной четырехугольник.	[{"type": "quadrilateral", "name": LAHV}]
Последовательность точек H, Z, Y и C задаёт трапеция, при этом расстояние от H до Z равно 17 см, а расстояние между H и Y составляет 18 см. Найти периметр данной трапеция.	[{"type": "trapezoid", "name": HZYC}]
В четырехугольнике APUG, если ∠A = 80° и ∠B = 70°, найдите сумму оставшихся двух углов.	[{"type": "quadrilateral", "name": "APUG"}]
Точки G, P, H и T задают квадрат. GP = 11 см, GH = 16 см. Найти площадь данной фигуры.	[{"type": "square", "name": GPHT}]
Последовательность точек F, U, E и Z задаёт параллелограмм, при этом расстояние от F до U равно 21 см, а расстояние между F и E составляет 11 см. Найти периметр данной параллелограмм.	[{"type": "parallelogram", "name": FUEZ}]
Найдите величину ∠A в трапеции FDYH, если диагонали AC и BD пересекаются под углом 45°.	[{"type": "trapezoid", "name": "FDYH"}]
Найдите периметр трапеции JMTD, основания которой равны 25 см и 28 см, а высота 20 см.	[{"type": "trapezoid", "name": "JMTD"}]
Вычислите длину медианы из вершины R в треугольнике IMJ со сторонами длиной 5, 12 и 13 единиц.	[{"type": "triangle", "name": "IMJ"}]
Основания прямоугольника KL = 13 см, JD = 19 см. Найти диагональ.	[{"type": "rectangle", "name": KLJD}]
В трапеции KMDL, если AB = CD и AD = BC, как называется трапеция?	[{"type": "trapezoid", "name": "KMDL"}]
Определите площадь треугольника NXA со сторонами длиной 3, 4 и 5 единиц, используя закон косинусов и тот факт, что это равнобедренный треугольник	[{"type": "triangle", "name": "NXA"}]
Основания параллелограмма HY = 3 см, CP = 2 см. Найти диагональ.	[{"type": "parallelogram", "name": HYCP}]
Найти периметр параллелограмма, основания которого UJ = 11 см, OY = 19 см, а высота равна 7 см.	[{"type": "parallelogram", "name": UJOY}]
Точки S, M, H и B задают трапеция. SM = 25 см, SH = 22 см. Найти площадь данной фигуры.	[{"type": "trapezoid", "name": SMHB}]
Докажите, что сумма внутренних углов квадрата ADKU равна 360°.	[{"type": "square", "name": "ADKU"}]
Найти периметр четырехугольника, основания которого ZY = 8 см, IA = 16 см, а высота равна 16 см.	[{"type": "quadrilateral", "name": ZYIA}]
Основания квадрата XK = 5 см, ZJ = 16 см. Найти диагональ.	[{"type": "square", "name": XKZJ}]
Последовательность точек O, S, N и U задаёт прямоугольник, при этом расстояние от O до S равно 9 см, а расстояние между O и N составляет 4 см. Найти периметр данной прямоугольник.	[{"type": "rectangle", "name": OSNU}]
Найдите площадь тупоугольного треугольника DQY с углами 110°, 40° и 30°, а также равнобедренного треугольника RXF с основанием 36 см и равными сторонами 34 см	[{"type": "triangle", "name": "DQY"}, {"type": "triangle", "name": "RXF"}]
Найти периметр трапеции, основания которого IV = 21 см, RT = 12 см, а высота равна 14 см.	[{"type": "trapezoid", "name": IVRT}]
Докажите, что сумма внутренних углов четырехугольника QEDA всегда равна 360°.	[{"type": "quadrilateral", "name": "QEDA"}]
В треугольнике YGX, если углы относятся как 3:4:5, найдите величину наибольшего угла.	[{"type": "triangle", "name": "YGX"}]
Определите площадь треугольника YTE со сторонами длиной 5, 6 и 7 единиц с помощью тригонометрических функций	[{"type": "triangle", "name": "YTE"}]
Последовательность точек Z, P, K и I задаёт квадрат, при этом расстояние от Z до P равно 13 см, а расстояние между Z и K составляет 17 см. Найти периметр данной квадрат.	[{"type": "square", "name": ZPKI}]
Последовательность точек S, M, L и A задаёт квадрат, при этом расстояние от S до M равно 8 см, а расстояние между S и L составляет 25 см. Найти периметр данной квадрат.	[{"type": "square", "name": SMLA}]
Найдите периметр четырехугольника EKJC со сторонами 7 см, 8 см, 9 см и 10 см.	[{"type": "quadrilateral", "name": "EKJC"}]
Найти периметр трапеции, основания которого SE = 20 см, PD = 8 см, а высота равна 4 см.	[{"type": "trapezoid", "name": SEPD}]
Найдите площадь параллелограмма LJWK, основание которого равно 12 см, а высота — 14 см.	[{"type": "parallelogram", "name": "LJWK"}]
Точки G, X, W и Q задают трапеция. GX = 19 см, GW = 22 см. Найти площадь данной фигуры.	[{"type": "trapezoid", "name": GXWQ}]
Какова площадь квадрата ICWZ со стороной 20 см?	[{"type": "square", "name": "ICWZ"}]
Найдите периметр квадрата ATIF со стороной 10 см.	[{"type": "square", "name": "ATIF"}]
Основания прямоугольника OZ = 6 см, SB = 12 см. Найти диагональ.	[{"type": "rectangle", "name": OZSB}]
Найдите величину ∠A в трапеции YBOI, если AB = 15 см, BC = 18 см, CD = 15 см и DA = 18 см.	[{"type": "trapezoid", "name": "YBOI"}]
Последовательность точек M, R, A и N задаёт четырехугольник, при этом расстояние от M до R равно 17 см, а расстояние между M и A составляет 9 см. Найти периметр данной четырехугольник.	[{"type": "quadrilateral", "name": MRAN}]
Найдите площадь остроугольного треугольника LQT с углами 45°, 60° и 75° и разностороннего треугольника IMK со сторонами 16 см, 18 см и 22 см	[{"type": "triangle", "name": "LQT"}, {"type": "triangle", "name": "IMK"}]
Найдите длину медианы из вершины C в треугольнике LAS со сторонами длиной 4, 5 и 7 единиц. Докажите, что эта медиана делит пополам угол между сторонами LM и MN.	[{"type": "triangle", "name": "LAS"}]
Как называется параллелограмм REPQ, если ∠A = 90° в параллелограмме REPQ?	[{"type": "parallelogram", "name": "REPQ"}]
Найдите периметр параллелограмма MHCF со сторонами 11 см и 13 см.	[{"type": "parallelogram", "name": "MHCF"}]
Как называется параллелограмм JHGU, если AB = CD и AD = BC?	[{"type": "parallelogram", "name": "JHGU"}]
Определите площадь треугольника DLE со сторонами длиной 6, 8 и 10 единиц по формуле Герона	[{"type": "triangle", "name": "DLE"}]
Найти периметр четырехугольника, основания которого TQ = 8 см, SR = 12 см, а высота равна 9 см.	[{"type": "quadrilateral", "name": TQSR}]
Найти периметр прямоугольника, основания которого TL = 23 см, KA = 17 см, а высота равна 21 см.	[{"type": "rectangle", "name": TLKA}]
В четырёхугольнике RLMB, если ∠A + ∠C = 180°, как называется четырёхугольник?	[{"type": "quadrilateral", "name": "RLMB"}]
Определите, образует ли треугольник GTC со сторонами длиной 5, 6 и 7 единиц прямоугольный треугольник	[{"type": "triangle", "name": "GTC"}]
Найдите величину ∠C в трапеции PATN, если ∠A = 110°.	[{"type": "trapezoid", "name": "PATN"}]
Точки B, U, R и A задают четырехугольник. BU = 15 см, BR = 20 см. Найти площадь данной фигуры.	[{"type": "quadrilateral", "name": BURA}]
В параллелограмме FYNH, если AB = 12 см, BC = 15 см, CD = 12 см и DA = 15 см, найдите величину ∠A.	[{"type": "parallelogram", "name": "FYNH"}]
Найдите площадь параллелограмма MJBE, основание которого равно 8 см, а высота — 6 см.	[{"type": "parallelogram", "name": "MJBE"}]
Точки H, Z, M и P задают трапеция. HZ = 22 см, HM = 16 см. Найти площадь данной фигуры.	[{"type": "trapezoid", "name": HZMP}]
В трапеции HKZT, если ∠A = 80° и ∠B = 70°, найдите сумму оставшихся двух углов.	[{"type": "trapezoid", "name": "HKZT"}]
Найдите сумму внутренних углов разностороннего треугольника BYI со сторонами 58 см, 60 см и 68 см, а также равнобедренного треугольника LKW с основанием 50 см и равными сторонами 48 см	[{"type": "triangle", "name": "BYI"}, {"type": "triangle", "name": "LKW"}]
Докажите, что диагонали четырехугольника LVIY делят друг друга пополам тогда и только тогда, когда этот четырехугольник является параллелограммом.	[{"type": "quadrilateral", "name": "LVIY"}]
Найти периметр трапеции, основания которого YH = 16 см, ZA = 20 см, а высота равна 19 см.	[{"type": "trapezoid", "name": YHZA}]
Последовательность точек G, B, R и Y задаёт прямоугольник, при этом расстояние от G до B равно 15 см, а расстояние между G и R составляет 14 см. Найти периметр данной прямоугольник.	[{"type": "rectangle", "name": GBRY}]
Точки N, E, L и U задают прямоугольник. NE = 6 см, NL = 18 см. Найти площадь данной фигуры.	[{"type": "rectangle", "name": NELU}]
Вычислите высоту равностороннего треугольника YBU со стороной 36 см и разностороннего треугольника ZIH со сторонами 38 см, 40 см и 44 см	[{"type": "triangle", "name": "YBU"}, {"type": "triangle", "name": "ZIH"}]
В четырехугольнике GUZB, если ∠A = 80° и ∠B = 100°, найдите сумму оставшихся двух углов.	[{"type": "quadrilateral", "name": "GUZB"}]
Найдите высоту равнобедренного треугольника YZR с основанием 8 см и равными сторонами по 6 см, а также равностороннего треугольника HUW со стороной 7 см	[{"type": "triangle", "name": "YZR"}, {"type": "triangle", "name": "HUW"}]
Найти периметр прямоугольника, основания которого OA = 3 см, XD = 25 см, а высота равна 5 см.	[{"type": "rectangle", "name": OAXD}]
Найдите длину медианы из вершины C в треугольнике INY со сторонами длиной 3, 4 и 5 единиц и докажите, что она является высотой треугольника тогда и только тогда, когда это равносторонний треугольник.	[{"type": "triangle", "name": "INY"}]
Точки U, H, G и S задают четырехугольник. UH = 21 см, UG = 12 см. Найти площадь данной фигуры.	[{"type": "quadrilateral", "name": UHGS}]
Найти периметр четырехугольника, основания которого CJ = 3 см, DG = 16 см, а высота равна 23 см.	[{"type": "quadrilateral", "name": CJDG}]
В трапеции MFOB, если AB = CD и AD = BC, как называется трапеция?	[{"type": "trapezoid", "name": "MFOB"}]
Точки V, P, F и K задают квадрат. VP = 18 см, VF = 13 см. Найти площадь данной фигуры.	[{"type": "square", "name": VPFK}]
Основания четырехугольника KH = 6 см, GB = 3 см. Найти диагональ.	[{"type": "quadrilateral", "name": KHGB}]
Найти периметр трапеции, основания которого QP = 24 см, NI = 15 см, а высота равна 5 см.	[{"type": "trapezoid", "name": QPNI}]
Найдите площадь прямоугольного треугольника JRD с катетами 32 см и 40 см, а также равностороннего треугольника VEP со стороной 32 см	[{"type": "triangle", "name": "JRD"}, {"type": "triangle", "name": "VEP"}]
Найти периметр квадрата, основания которого MW = 7 см, DY = 7 см, а высота равна 13 см.	[{"type": "square", "name": MWDY}]
Найдите площадь четырехугольника FDUT, основание которого равно 8 см, а высота 5 см.	[{"type": "quadrilateral", "name": "FDUT"}]
Точки I, R, J и C задают четырехугольник. IR = 22 см, IJ = 22 см. Найти площадь данной фигуры.	[{"type": "quadrilateral", "name": IRJC}]
Определите гипотенузу прямоугольного треугольника XFZ с катетами 5 см и 12 см и разностороннего треугольника SAD со сторонами 6 см, 8 см и 10 см	[{"type": "triangle", "name": "XFZ"}, {"type": "triangle", "name": "SAD"}]
Как называется параллелограмм TKZS, если AB = CD и AD = BC?	[{"type": "parallelogram", "name": "TKZS"}]
Последовательность точек S, Y, R и O задаёт трапеция, при этом расстояние от S до Y равно 6 см, а расстояние между S и R составляет 19 см. Найти периметр данной трапеция.	[{"type": "trapezoid", "name": SYRO}]
Найти периметр четырехугольника, основания которого CU = 25 см, ON = 25 см, а высота равна 7 см.	[{"type": "quadrilateral", "name": CUON}]
Найдите длину диагонали квадрата MAVE со стороной 18 см.	[{"type": "square", "name": "MAVE"}]
В квадрате VNGT, если ∠A = 90°, найдите меру ∠D.	[{"type": "square", "name": "VNGT"}]
Найдите величину ∠C в параллелограмме OAHT, если ∠A = 45°.	[{"type": "parallelogram", "name": "OAHT"}]
Докажите, что диагонали параллелограмма BFIA являются взаимно перпендикулярными и серединными.	[{"type": "parallelogram", "name": "BFIA"}]
Найдите величину ∠B в трапеции XZVR, если ∠A = 90°.	[{"type": "trapezoid", "name": "XZVR"}]
Найдите периметр четырехугольника VLPR со сторонами 5 см, 6 см, 7 см и 9 см.	[{"type": "quadrilateral", "name": "VLPR"}]
Точки O, D, X и P задают прямоугольник. OD = 20 см, OX = 3 см. Найти площадь данной фигуры.	[{"type": "rectangle", "name": ODXP}]
Найдите периметр равнобедренного треугольника PQG с основанием 54 см и равными сторонами 52 см, а также тупоугольного треугольника WVY со сторонами 62 см, 64 см и 74 см	[{"type": "triangle", "name": "PQG"}, {"type": "triangle", "name": "WVY"}]
Найдите периметр четырехугольника PKHF со сторонами длиной 20 см, 22 см, 24 см и 26 см.	[{"type": "quadrilateral", "name": "PKHF"}]
Точки U, O, C и W задают параллелограмм. UO = 5 см, UC = 13 см. Найти площадь данной фигуры.	[{"type": "parallelogram", "name": UOCW}]
Докажите, что сумма внутренних углов квадрата UZKA равна 360°.	[{"type": "square", "name": "UZKA"}]
В четырехугольнике TFPN, если AB = 8 см, BC = 10 см, CD = 12 см, DA = 14 см и ∠A = 90°, найдите меру ∠C.	[{"type": "quadrilateral", "name": "TFPN"}]
Какова высота треугольника NYJ, если его площадь 40 квадратных сантиметров?	[{"type": "triangle", "name": "NYJ"}]
Найдите длину стороны равностороннего треугольника GCA, периметр которого равен 42 см.	[{"type": "triangle", "name": "GCA"}]
В квадрате VQCX, если ∠A = 90°, найдите величину ∠B.	[{"type": "square", "name": "VQCX"}]
Найти периметр прямоугольника, основания которого NO = 20 см, GT = 8 см, а высота равна 5 см.	[{"type": "rectangle", "name": NOGT}]
Найти периметр параллелограмма, основания которого GD = 16 см, XT = 21 см, а высота равна 24 см.	[{"type": "parallelogram", "name": GDXT}]
Основания четырехугольника EG = 17 см, AZ = 17 см. Найти диагональ.	[{"type": "quadrilateral", "name": EGAZ}]
Найдите величину ∠A в параллелограмме LBZW, если диагонали AC и BD пересекаются под углом 45°.	[{"type": "parallelogram", "name": "LBZW"}]
Вычислите гипотенузу разностороннего треугольника WQC со сторонами 64 см, 66 см и 76 см, а также прямоугольного треугольника ZFT с катетами 64 см и 80 см	[{"type": "triangle", "name": "WQC"}, {"type": "triangle", "name": "ZFT"}]
Точки V, S, N и Y задают трапеция. VS = 17 см, VN = 2 см. Найти площадь данной фигуры.	[{"type": "trapezoid", "name": VSNY}]
Основания трапеции OR = 17 см, WG = 22 см. Найти диагональ.	[{"type": "trapezoid", "name": ORWG}]
Найдите периметр квадрата MSKG со стороной 45 см.	[{"type": "square", "name": "MSKG"}]
Основания трапеции BP = 24 см, DE = 19 см. Найти диагональ.	[{"type": "trapezoid", "name": BPDE}]
Найдите длину диагонали трапеции ECIZ, основания которой равны 18 см и 20 см, а высота — 14 см.	[{"type": "trapezoid", "name": "ECIZ"}]
Найти периметр квадрата, основания которого BK = 12 см, XG = 9 см, а высота равна 6 см.	[{"type": "square", "name": BKXG}]
